source POD, destination POD, #cores, #slots,
168,148,1,17,
167,158,1,17,
167,156,1,17,
166,163,1,17,
166,157,1,17,
165,144,1,17,
165,98,1,17,
164,148,1,17,
164,63,1,17,
164,58,1,17,
162,159,1,17,
162,141,1,17,
162,126,1,17,
162,125,1,17,
162,108,1,17,
162,73,1,17,
161,149,1,17,
161,128,1,17,
161,123,1,17,
161,116,1,17,
160,145,1,17,
160,144,1,17,
160,122,1,17,
160,101,1,17,
159,145,1,17,
159,129,1,17,
159,120,1,17,
159,116,1,17,
158,156,1,17,
158,153,1,17,
158,142,1,17,
158,135,1,17,
157,147,1,17,
157,127,1,17,
157,12,1,17,
157,6,1,17,
156,150,1,17,
156,133,1,17,
156,130,1,17,
156,129,1,17,
155,138,1,17,
155,123,1,17,
155,116,1,17,
155,29,1,17,
155,16,1,17,
154,152,1,17,
154,145,1,17,
154,133,1,17,
154,128,1,17,
154,110,1,17,
154,84,1,17,
153,157,1,17,
153,131,1,17,
153,125,1,17,
152,148,1,17,
152,131,1,17,
152,127,1,17,
152,75,1,17,
151,144,1,17,
151,143,1,17,
151,134,1,17,
151,131,1,17,
151,123,1,17,
150,140,1,17,
150,131,1,17,
150,100,1,17,
150,95,1,17,
149,102,1,17,
149,98,1,17,
149,49,1,17,
146,137,1,17,
146,132,1,17,
146,128,1,17,
146,126,1,17,
146,117,1,17,
145,105,1,17,
145,97,1,17,
144,139,1,17,
143,141,1,17,
143,138,1,17,
143,95,1,17,
143,85,1,17,
143,79,1,17,
142,114,1,17,
142,100,1,17,
142,92,1,17,
142,56,1,17,
142,49,1,17,
140,74,1,17,
139,95,1,17,
139,33,1,17,
139,16,1,17,
137,138,1,17,
137,131,1,17,
137,130,1,17,
137,124,1,17,
137,120,1,17,
136,187,1,17,
136,122,1,17,
136,88,1,17,
136,86,1,17,
136,80,1,17,
135,187,1,17,
135,124,1,17,
135,114,1,17,
135,106,1,17,
134,129,1,17,
134,108,1,17,
134,93,1,17,
134,91,1,17,
134,88,1,17,
133,74,1,17,
133,73,1,17,
133,39,1,17,
132,119,1,17,
131,128,1,17,
130,103,1,17,
130,92,1,17,
129,126,1,17,
129,104,1,17,
128,96,1,17,
127,124,1,17,
127,19,1,17,
127,13,1,17,
126,79,1,17,
125,117,1,17,
125,103,1,17,
124,113,1,17,
124,112,1,17,
124,97,1,17,
123,108,1,17,
122,62,1,17,
122,46,1,17,
121,138,1,17,
121,106,1,17,
121,94,1,17,
121,85,1,17,
121,54,1,17,
121,32,1,17,
120,112,1,17,
120,108,1,17,
120,104,1,17,
119,110,1,17,
119,84,1,17,
119,76,1,17,
119,68,1,17,
118,139,1,17,
118,96,1,17,
118,69,1,17,
118,51,1,17,
118,0,1,17,
117,107,1,17,
117,98,1,17,
117,91,1,17,
116,114,1,17,
116,94,1,17,
116,82,1,17,
115,102,1,17,
115,85,1,17,
115,79,1,17,
114,110,1,17,
114,109,1,17,
114,107,1,17,
113,148,1,17,
113,140,1,17,
113,106,1,17,
113,105,1,17,
113,102,1,17,
112,78,1,17,
112,75,1,17,
112,3,1,17,
111,103,1,17,
111,98,1,17,
111,87,1,17,
110,36,1,17,
109,12,1,17,
108,99,1,17,
108,86,1,17,
107,102,1,17,
107,101,1,17,
107,77,1,17,
106,90,1,17,
106,84,1,17,
105,95,1,17,
105,61,1,17,
105,51,1,17,
104,91,1,17,
104,74,1,17,
104,29,1,17,
102,94,1,17,
101,53,1,17,
100,140,1,17,
100,109,1,17,
99,110,1,17,
99,85,1,17,
99,83,1,17,
99,82,1,17,
99,66,1,17,
97,93,1,17,
97,90,1,17,
97,78,1,17,
97,70,1,17,
96,138,1,17,
96,98,1,17,
96,88,1,17,
96,80,1,17,
95,79,1,17,
95,76,1,17,
94,110,1,17,
94,65,1,17,
94,64,1,17,
93,57,1,17,
93,52,1,17,
93,49,1,17,
92,75,1,17,
92,46,1,17,
92,41,1,17,
91,86,1,17,
91,66,1,17,
91,64,1,17,
90,65,1,17,
90,17,1,17,
89,88,1,17,
89,81,1,17,
89,78,1,17,
89,77,1,17,
89,71,1,17,
89,70,1,17,
88,73,1,17,
88,61,1,17,
87,85,1,17,
87,66,1,17,
87,59,1,17,
87,46,1,17,
87,14,1,17,
86,109,1,17,
86,64,1,17,
86,48,1,17,
85,84,1,17,
84,34,1,17,
84,0,1,17,
83,82,1,17,
83,76,1,17,
83,67,1,17,
83,62,1,17,
83,52,1,17,
82,20,1,17,
81,60,1,17,
81,48,1,17,
81,47,1,17,
81,35,1,17,
81,27,1,17,
80,77,1,17,
80,76,1,17,
80,71,1,17,
79,66,1,17,
79,63,1,17,
78,98,1,17,
78,82,1,17,
78,61,1,17,
77,65,1,17,
77,46,1,17,
77,35,1,17,
76,140,1,17,
76,75,1,17,
75,18,1,17,
74,82,1,17,
74,72,1,17,
74,69,1,17,
73,72,1,17,
73,70,1,17,
72,67,1,17,
72,59,1,17,
72,18,1,17,
72,13,1,17,
71,101,1,17,
71,55,1,17,
71,52,1,17,
71,20,1,17,
70,51,1,17,
70,36,1,17,
69,23,1,17,
67,63,1,17,
67,22,1,17,
67,21,1,17,
66,103,1,17,
66,63,1,17,
65,90,1,17,
65,75,1,17,
65,57,1,17,
64,56,1,17,
64,50,1,17,
64,36,1,17,
62,140,1,17,
62,60,1,17,
62,31,1,17,
62,23,1,17,
60,59,1,17,
60,56,1,17,
60,35,1,17,
60,11,1,17,
59,43,1,17,
58,139,1,17,
58,67,1,17,
58,53,1,17,
58,39,1,17,
57,68,1,17,
57,54,1,17,
57,34,1,17,
56,53,1,17,
55,112,1,17,
55,61,1,17,
55,48,1,17,
55,33,1,17,
55,6,1,17,
54,34,1,17,
54,32,1,17,
54,9,1,17,
54,7,1,17,
53,68,1,17,
53,61,1,17,
53,57,1,17,
52,70,1,17,
52,61,1,17,
52,47,1,17,
51,42,1,17,
51,34,1,17,
51,5,1,17,
50,25,1,17,
50,20,1,17,
50,17,1,17,
50,13,1,17,
50,2,1,17,
49,7,1,17,
49,6,1,17,
49,5,1,17,
47,109,1,17,
47,59,1,17,
47,45,1,17,
47,31,1,17,
45,26,1,17,
44,43,1,17,
44,18,1,17,
43,48,1,17,
42,68,1,17,
42,63,1,17,
42,56,1,17,
42,35,1,17,
42,31,1,17,
41,68,1,17,
41,48,1,17,
41,44,1,17,
41,43,1,17,
41,31,1,17,
40,138,1,17,
40,43,1,17,
40,17,1,17,
39,33,1,17,
39,20,1,17,
39,14,1,17,
39,10,1,17,
38,40,1,17,
37,45,1,17,
37,34,1,17,
37,13,1,17,
37,1,1,17,
35,69,1,17,
35,38,1,17,
33,46,1,17,
33,37,1,17,
32,18,1,17,
32,17,1,17,
31,40,1,17,
31,28,1,17,
30,21,1,17,
30,7,1,17,
29,43,1,17,
29,13,1,17,
28,19,1,17,
27,11,1,17,
26,69,1,17,
26,28,1,17,
26,19,1,17,
24,46,1,17,
24,45,1,17,
24,25,1,17,
24,20,1,17,
24,6,1,17,
24,1,1,17,
23,48,1,17,
23,37,1,17,
23,26,1,17,
22,0,1,17,
21,68,1,17,
21,36,1,17,
21,29,1,17,
21,16,1,17,
19,56,1,17,
19,36,1,17,
19,15,1,17,
18,10,1,17,
17,69,1,17,
17,40,1,17,
16,44,1,17,
16,29,1,17,
16,22,1,17,
15,36,1,17,
15,11,1,17,
14,44,1,17,
14,3,1,17,
14,1,1,17,
13,27,1,17,
11,59,1,17,
11,26,1,17,
11,12,1,17,
10,8,1,17,
10,6,1,17,
10,0,1,17,
8,5,1,17,
6,18,1,17,
5,34,1,17,
4,44,1,17,
4,38,1,17,
4,28,1,17,
4,3,1,17,
3,32,1,17,
3,30,1,17,
3,28,1,17,
2,23,1,17,
2,15,1,17,
2,14,1,17,
2,10,1,17,
2,4,1,17,
1,45,1,17,
33,27,1,9,
33,15,1,9,
22,9,1,9,
15,1,1,9,
9,38,1,9,
5,32,1,9,
4,5,1,9,
1,90,1,9,
1,25,1,9,
199,191,1,5,
199,188,1,5,
199,184,1,5,
198,184,1,5,
198,156,1,5,
198,124,1,5,
197,82,1,5,
197,60,1,5,
197,39,1,5,
196,185,1,5,
196,162,1,5,
196,144,1,5,
195,166,1,5,
195,149,1,5,
195,121,1,5,
194,188,1,5,
194,179,1,5,
194,130,1,5,
193,115,1,5,
192,172,1,5,
192,136,1,5,
192,79,1,5,
191,73,1,5,
191,42,1,5,
190,169,1,5,
190,167,1,5,
190,149,1,5,
189,164,1,5,
189,114,1,5,
189,113,1,5,
188,172,1,5,
186,182,1,5,
186,83,1,5,
185,171,1,5,
185,162,1,5,
184,165,1,5,
183,175,1,5,
183,167,1,5,
183,142,1,5,
182,165,1,5,
182,118,1,5,
181,172,1,5,
181,166,1,5,
181,145,1,5,
180,155,1,5,
180,153,1,5,
180,129,1,5,
179,186,1,5,
179,177,1,5,
178,125,1,5,
177,178,1,5,
177,111,1,5,
176,163,1,5,
176,136,1,5,
176,114,1,5,
175,174,1,5,
175,160,1,5,
174,142,1,5,
174,90,1,5,
173,137,1,5,
173,42,1,5,
171,178,1,5,
171,160,1,5,
170,163,1,5,
170,120,1,5,
170,105,1,5,
169,103,1,5,
169,70,1,5,
168,159,1,5,
168,138,1,5,
168,134,1,5,
167,134,1,5,
163,157,1,5,
162,133,1,5,
161,93,1,5,
161,89,1,5,
161,87,1,5,
160,136,1,5,
159,156,1,5,
159,105,1,5,
158,128,1,5,
158,124,1,5,
158,123,1,5,
157,98,1,5,
157,40,1,5,
156,131,1,5,
155,141,1,5,
155,110,1,5,
154,143,1,5,
154,116,1,5,
154,102,1,5,
153,133,1,5,
153,120,1,5,
152,149,1,5,
152,107,1,5,
152,87,1,5,
151,128,1,5,
151,66,1,5,
151,10,1,5,
150,116,1,5,
150,114,1,5,
150,63,1,5,
148,60,1,5,
148,42,1,5,
147,96,1,5,
147,95,1,5,
147,84,1,5,
146,144,1,5,
146,134,1,5,
145,126,1,5,
145,100,1,5,
144,7,1,5,
143,132,1,5,
143,80,1,5,
142,132,1,5,
141,148,1,5,
141,132,1,5,
137,129,1,5,
137,65,1,5,
135,164,1,5,
135,104,1,5,
135,103,1,5,
133,115,1,5,
131,109,1,5,
131,104,1,5,
130,119,1,5,
130,89,1,5,
129,193,1,5,
128,31,1,5,
127,85,1,5,
126,1,1,5,
125,126,1,5,
125,88,1,5,
124,77,1,5,
123,14,1,5,
123,3,1,5,
121,122,1,5,
121,104,1,5,
120,140,1,5,
119,85,1,5,
119,31,1,5,
118,164,1,5,
118,105,1,5,
117,187,1,5,
117,165,1,5,
117,110,1,5,
116,127,1,5,
115,113,1,5,
113,138,1,5,
112,77,1,5,
112,69,1,5,
111,73,1,5,
111,25,1,5,
109,27,1,5,
109,4,1,5,
108,70,1,5,
108,52,1,5,
107,138,1,5,
107,53,1,5,
106,57,1,5,
102,83,1,5,
102,82,1,5,
101,69,1,5,
101,7,1,5,
101,5,1,5,
100,99,1,5,
100,84,1,5,
99,193,1,5,
99,108,1,5,
97,82,1,5,
97,81,1,5,
97,66,1,5,
96,127,1,5,
96,79,1,5,
95,187,1,5,
95,47,1,5,
94,1,1,5,
93,140,1,5,
92,93,1,5,
92,85,1,5,
92,70,1,5,
91,187,1,5,
91,139,1,5,
91,68,1,5,
89,98,1,5,
88,83,1,5,
88,51,1,5,
87,67,1,5,
84,173,1,5,
81,166,1,5,
81,66,1,5,
80,73,1,5,
80,72,1,5,
79,77,1,5,
78,103,1,5,
78,52,1,5,
78,38,1,5,
76,15,1,5,
76,9,1,5,
75,65,1,5,
74,34,1,5,
74,23,1,5,
74,17,1,5,
72,110,1,5,
72,34,1,5,
71,26,1,5,
71,23,1,5,
69,64,1,5,
65,48,1,5,
64,26,1,5,
63,90,1,5,
63,57,1,5,
62,50,1,5,
62,30,1,5,
62,17,1,5,
61,75,1,5,
58,37,1,5,
58,26,1,5,
58,21,1,5,
55,50,1,5,
55,31,1,5,
54,37,1,5,
54,20,1,5,
54,16,1,5,
53,49,1,5,
53,19,1,5,
52,86,1,5,
51,15,1,5,
50,37,1,5,
49,28,1,5,
44,34,1,5,
43,45,1,5,
43,12,1,5,
41,22,1,5,
41,8,1,5,
40,146,1,5,
40,122,1,5,
39,7,1,5,
38,139,1,5,
38,59,1,5,
36,39,1,5,
35,106,1,5,
35,64,1,5,
35,43,1,5,
33,32,1,5,
33,23,1,5,
32,57,1,5,
32,36,1,5,
30,22,1,5,
28,76,1,5,
27,0,1,5,
24,106,1,5,
22,94,1,5,
22,71,1,5,
21,49,1,5,
20,27,1,5,
19,41,1,5,
19,18,1,5,
18,98,1,5,
18,45,1,5,
17,112,1,5,
16,94,1,5,
16,13,1,5,
15,38,1,5,
15,9,1,5,
14,75,1,5,
12,140,1,5,
12,25,1,5,
11,48,1,5,
10,29,1,5,
8,14,1,5,
8,12,1,5,
8,0,1,5,
3,27,1,5,
3,13,1,5,
2,44,1,5,
1,59,1,5,
1,9,1,5,
90,45,1,2,
67,86,1,2,
67,47,1,2,
67,15,1,2,
61,47,1,2,
60,55,1,2,
60,0,1,2,
55,9,1,2,
47,29,1,2,
46,10,1,2,
36,44,1,2,
36,24,1,2,
36,9,1,2,
30,28,1,2,
24,12,1,2,
24,5,1,2,
24,2,1,2,
21,67,1,2,
20,51,1,2,
20,45,1,2,
20,25,1,2,
13,86,1,2,
13,8,1,2,
11,86,1,2,
10,25,1,2,
9,22,1,2,
7,28,1,2,
6,9,1,2,
5,60,1,2,
199,151,1,17,
199,142,1,17,
199,132,1,17,
199,129,1,17,
199,116,1,17,
199,114,1,17,
198,136,1,17,
198,125,1,17,
198,116,1,17,
198,109,1,17,
198,108,1,17,
198,91,1,17,
197,36,1,17,
196,197,1,17,
196,117,1,17,
196,104,1,17,
196,98,1,17,
196,95,1,17,
196,91,1,17,
195,197,1,17,
195,158,1,17,
195,156,1,17,
195,155,1,17,
195,126,1,17,
195,118,1,17,
194,89,1,17,
194,87,1,17,
194,10,1,17,
192,110,1,17,
192,102,1,17,
192,63,1,17,
192,3,1,17,
191,53,1,17,
191,29,1,17,
190,132,1,17,
190,129,1,17,
190,125,1,17,
190,117,1,17,
190,73,1,17,
190,68,1,17,
189,197,1,17,
189,155,1,17,
189,145,1,17,
189,124,1,17,
189,116,1,17,
189,85,1,17,
188,89,1,17,
188,83,1,17,
188,81,1,17,
188,78,1,17,
188,76,1,17,
188,68,1,17,
186,193,1,17,
186,160,1,17,
186,139,1,17,
186,136,1,17,
186,134,1,17,
186,131,1,17,
185,79,1,17,
185,78,1,17,
185,75,1,17,
185,71,1,17,
185,69,1,17,
185,67,1,17,
184,92,1,17,
184,83,1,17,
184,68,1,17,
184,57,1,17,
184,45,1,17,
184,39,1,17,
183,74,1,17,
183,69,1,17,
183,50,1,17,
183,40,1,17,
182,194,1,17,
182,116,1,17,
182,90,1,17,
182,57,1,17,
182,51,1,17,
182,23,1,17,
181,193,1,17,
181,161,1,17,
181,149,1,17,
181,136,1,17,
181,135,1,17,
181,130,1,17,
180,104,1,17,
180,96,1,17,
180,86,1,17,
180,85,1,17,
180,83,1,17,
180,82,1,17,
179,165,1,17,
179,161,1,17,
179,159,1,17,
179,130,1,17,
179,129,1,17,
179,127,1,17,
178,135,1,17,
178,104,1,17,
178,96,1,17,
178,52,1,17,
177,197,1,17,
177,191,1,17,
177,183,1,17,
177,158,1,17,
177,145,1,17,
177,101,1,17,
176,133,1,17,
176,103,1,17,
176,98,1,17,
176,84,1,17,
176,69,1,17,
176,38,1,17,
175,115,1,17,
175,99,1,17,
175,82,1,17,
175,49,1,17,
175,45,1,17,
175,33,1,17,
174,132,1,17,
174,127,1,17,
174,117,1,17,
174,112,1,17,
174,97,1,17,
174,75,1,17,
173,88,1,17,
173,82,1,17,
173,63,1,17,
173,54,1,17,
173,51,1,17,
173,47,1,17,
172,178,1,17,
172,96,1,17,
172,95,1,17,
172,88,1,17,
172,74,1,17,
172,35,1,17,
171,192,1,17,
171,99,1,17,
171,61,1,17,
171,53,1,17,
171,52,1,17,
171,43,1,17,
170,183,1,17,
170,110,1,17,
170,89,1,17,
170,82,1,17,
170,70,1,17,
170,67,1,17,
169,193,1,17,
169,50,1,17,
168,193,1,17,
168,178,1,17,
168,147,1,17,
168,142,1,17,
168,132,1,17,
168,130,1,17,
167,164,1,17,
167,142,1,17,
167,140,1,17,
167,139,1,17,
167,129,1,17,
167,128,1,17,
166,141,1,17,
166,138,1,17,
166,126,1,17,
166,85,1,17,
166,55,1,17,
166,49,1,17,
165,54,1,17,
164,44,1,17,
164,28,1,17,
164,13,1,17,
164,7,1,17,
163,162,1,17,
163,151,1,17,
163,142,1,17,
163,141,1,17,
163,130,1,17,
163,128,1,17,
162,197,1,17,
162,165,1,17,
162,164,1,17,
162,71,1,17,
162,43,1,17,
161,193,1,17,
161,107,1,17,
161,101,1,17,
161,91,1,17,
160,194,1,17,
160,97,1,17,
160,92,1,17,
160,89,1,17,
160,80,1,17,
159,194,1,17,
159,191,1,17,
159,93,1,17,
159,69,1,17,
159,58,1,17,
158,192,1,17,
158,165,1,17,
158,112,1,17,
158,106,1,17,
156,128,1,17,
156,109,1,17,
156,81,1,17,
156,54,1,17,
156,53,1,17,
154,191,1,17,
154,147,1,17,
154,80,1,17,
154,73,1,17,
154,69,1,17,
154,56,1,17,
153,113,1,17,
153,111,1,17,
153,108,1,17,
153,95,1,17,
153,87,1,17,
153,82,1,17,
152,67,1,17,
152,58,1,17,
152,52,1,17,
152,22,1,17,
152,16,1,17,
151,125,1,17,
151,120,1,17,
151,118,1,17,
151,113,1,17,
150,191,1,17,
150,157,1,17,
150,155,1,17,
150,91,1,17,
150,88,1,17,
150,79,1,17,
147,116,1,17,
147,114,1,17,
147,94,1,17,
147,76,1,17,
146,86,1,17,
146,80,1,17,
146,73,1,17,
146,68,1,17,
146,24,1,17,
146,23,1,17,
145,91,1,17,
145,67,1,17,
145,58,1,17,
145,0,1,17,
144,85,1,17,
144,6,1,17,
143,65,1,17,
143,17,1,17,
143,1,1,17,
142,165,1,17,
142,149,1,17,
141,169,1,17,
141,149,1,17,
141,136,1,17,
141,119,1,17,
137,193,1,17,
137,99,1,17,
137,89,1,17,
137,75,1,17,
137,74,1,17,
137,59,1,17,
136,78,1,17,
136,77,1,17,
135,155,1,17,
135,95,1,17,
135,83,1,17,
135,76,1,17,
134,187,1,17,
134,78,1,17,
134,76,1,17,
134,31,1,17,
134,28,1,17,
133,28,1,17,
133,26,1,17,
133,25,1,17,
133,7,1,17,
132,104,1,17,
132,82,1,17,
131,157,1,17,
131,124,1,17,
131,116,1,17,
131,88,1,17,
131,66,1,17,
130,39,1,17,
130,27,1,17,
129,100,1,17,
129,92,1,17,
128,139,1,17,
128,81,1,17,
128,80,1,17,
127,12,1,17,
126,57,1,17,
126,52,1,17,
126,37,1,17,
125,187,1,17,
125,155,1,17,
125,133,1,17,
124,101,1,17,
124,96,1,17,
124,92,1,17,
124,60,1,17,
123,100,1,17,
123,87,1,17,
123,16,1,17,
122,41,1,17,
122,12,1,17,
121,9,1,17,
121,0,1,17,
120,169,1,17,
120,98,1,17,
120,94,1,17,
120,67,1,17,
120,45,1,17,
119,157,1,17,
119,27,1,17,
119,17,1,17,
119,16,1,17,
119,7,1,17,
118,155,1,17,
117,87,1,17,
117,84,1,17,
117,83,1,17,
115,169,1,17,
115,78,1,17,
115,66,1,17,
115,47,1,17,
115,46,1,17,
114,122,1,17,
114,111,1,17,
114,91,1,17,
114,90,1,17,
113,149,1,17,
113,126,1,17,
113,90,1,17,
113,75,1,17,
111,55,1,17,
111,42,1,17,
111,36,1,17,
111,6,1,17,
108,44,1,17,
108,29,1,17,
108,24,1,17,
107,73,1,17,
107,54,1,17,
107,10,1,17,
106,187,1,17,
106,149,1,17,
106,123,1,17,
106,74,1,17,
106,72,1,17,
105,36,1,17,
105,14,1,17,
105,13,1,17,
104,11,1,17,
102,127,1,17,
102,92,1,17,
102,86,1,17,
102,80,1,17,
102,65,1,17,
100,121,1,17,
100,75,1,17,
100,28,1,17,
99,57,1,17,
99,51,1,17,
99,44,1,17,
98,149,1,17,
97,165,1,17,
97,157,1,17,
97,58,1,17,
97,53,1,17,
96,152,1,17,
96,78,1,17,
95,51,1,17,
95,41,1,17,
94,15,1,17,
93,110,1,17,
93,107,1,17,
93,26,1,17,
93,19,1,17,
93,12,1,17,
92,138,1,17,
90,143,1,17,
90,122,1,17,
89,47,1,17,
88,105,1,17,
88,100,1,17,
87,107,1,17,
87,6,1,17,
86,148,1,17,
85,80,1,17,
85,76,1,17,
84,98,1,17,
84,86,1,17,
83,148,1,17,
81,148,1,17,
81,123,1,17,
81,108,1,17,
79,127,1,17,
79,118,1,17,
79,105,1,17,
79,43,1,17,
77,157,1,17,
77,127,1,17,
77,110,1,17,
77,33,1,17,
77,20,1,17,
75,109,1,17,
74,48,1,17,
74,33,1,17,
73,123,1,17,
73,122,1,17,
72,157,1,17,
72,105,1,17,
72,84,1,17,
71,169,1,17,
71,94,1,17,
70,101,1,17,
69,148,1,17,
67,71,1,17,
66,121,1,17,
66,35,1,17,
66,12,1,17,
66,10,1,17,
65,187,1,17,
65,109,1,17,
65,54,1,17,
65,47,1,17,
62,187,1,17,
62,104,1,17,
62,101,1,17,
62,84,1,17,
62,64,1,17,
62,16,1,17,
60,110,1,17,
60,1,1,17,
58,187,1,17,
58,118,1,17,
57,101,1,17,
54,144,1,17,
53,143,1,17,
53,121,1,17,
52,110,1,17,
52,45,1,17,
50,1,1,17,
49,121,1,17,
49,0,1,17,
47,25,1,17,
46,86,1,17,
45,47,1,17,
42,148,1,17,
42,94,1,17,
42,72,1,17,
42,61,1,17,
42,60,1,17,
41,103,1,17,
41,51,1,17,
41,23,1,17,
41,11,1,17,
37,138,1,17,
37,109,1,17,
36,55,1,17,
36,50,1,17,
35,103,1,17,
35,94,1,17,
35,70,1,17,
35,55,1,17,
33,139,1,17,
33,55,1,17,
33,31,1,17,
32,122,1,17,
32,118,1,17,
32,39,1,17,
31,148,1,17,
31,64,1,17,
31,44,1,17,
30,109,1,17,
30,103,1,17,
28,70,1,17,
27,70,1,17,
27,50,1,17,
24,57,1,17,
24,39,1,17,
23,46,1,17,
22,144,1,17,
22,50,1,17,
22,49,1,17,
21,143,1,17,
21,139,1,17,
21,103,1,17,
21,34,1,17,
21,26,1,17,
20,37,1,17,
20,0,1,17,
19,112,1,17,
19,71,1,17,
19,55,1,17,
19,29,1,17,
18,70,1,17,
18,61,1,17,
18,24,1,17,
18,20,1,17,
17,103,1,17,
17,68,1,17,
17,56,1,17,
17,34,1,17,
16,112,1,17,
15,63,1,17,
15,48,1,17,
14,51,1,17,
13,56,1,17,
13,43,1,17,
13,9,1,17,
13,5,1,17,
11,139,1,17,
11,3,1,17,
10,140,1,17,
8,20,1,17,
7,46,1,17,
5,138,1,17,
5,59,1,17,
5,18,1,17,
4,63,1,17,
4,49,1,17,
4,37,1,17,
3,25,1,17,
3,9,1,17,
2,144,1,17,
2,59,1,17,
2,43,1,17,
2,29,1,17,
2,11,1,17,
1,56,1,17,
1,40,1,17,
0,46,1,17,
144,10,1,9,
112,5,1,9,
68,25,1,9,
63,6,1,9,
60,3,1,9,
48,39,1,9,
40,61,1,9,
40,15,1,9,
40,11,1,9,
39,25,1,9,
32,144,1,9,
26,140,1,9,
26,60,1,9,
26,5,1,9,
26,0,1,9,
20,64,1,9,
20,34,1,9,
18,140,1,9,
15,61,1,9,
15,14,1,9,
14,140,1,9,
14,30,1,9,
14,5,1,9,
10,59,1,9,
10,34,1,9,
7,6,1,9,
5,3,1,9,
4,46,1,9,
3,44,1,9,
3,14,1,9,
199,149,1,5,
199,133,1,5,
199,130,1,5,
198,82,1,5,
198,60,1,5,
198,51,1,5,
196,141,1,5,
196,109,1,5,
196,93,1,5,
195,112,1,5,
195,95,1,5,
195,82,1,5,
194,99,1,5,
194,59,1,5,
192,68,1,5,
190,135,1,5,
190,97,1,5,
190,81,1,5,
189,79,1,5,
189,70,1,5,
189,53,1,5,
188,170,1,5,
188,132,1,5,
188,73,1,5,
185,80,1,5,
185,63,1,5,
185,24,1,5,
184,154,1,5,
184,59,1,5,
184,21,1,5,
183,130,1,5,
183,96,1,5,
183,78,1,5,
182,74,1,5,
182,73,1,5,
182,70,1,5,
181,138,1,5,
181,131,1,5,
181,104,1,5,
180,172,1,5,
180,75,1,5,
180,32,1,5,
179,174,1,5,
179,135,1,5,
179,112,1,5,
178,194,1,5,
177,109,1,5,
177,49,1,5,
177,33,1,5,
176,51,1,5,
176,49,1,5,
176,27,1,5,
175,158,1,5,
175,62,1,5,
175,27,1,5,
174,88,1,5,
174,87,1,5,
172,192,1,5,
172,51,1,5,
171,159,1,5,
171,108,1,5,
171,69,1,5,
170,71,1,5,
170,68,1,5,
169,63,1,5,
168,92,1,5,
168,65,1,5,
168,63,1,5,
167,115,1,5,
167,111,1,5,
167,87,1,5,
163,192,1,5,
163,191,1,5,
163,139,1,5,
162,131,1,5,
162,62,1,5,
162,49,1,5,
161,85,1,5,
161,59,1,5,
161,12,1,5,
160,127,1,5,
160,126,1,5,
160,120,1,5,
159,71,1,5,
159,68,1,5,
158,191,1,5,
158,93,1,5,
